Recall,Precision,Model
1.0,0.3611111111111111,Elastic Net
1.0,0.36363636363636365,Elastic Net
1.0,0.36619718309859156,Elastic Net
1.0,0.36879432624113473,Elastic Net
1.0,0.37142857142857144,Elastic Net
1.0,0.37410071942446044,Elastic Net
1.0,0.37681159420289856,Elastic Net
1.0,0.3795620437956204,Elastic Net
1.0,0.38235294117647056,Elastic Net
1.0,0.3851851851851852,Elastic Net
0.9807692307692307,0.3805970149253731,Elastic Net
0.9807692307692307,0.38345864661654133,Elastic Net
0.9807692307692307,0.38636363636363635,Elastic Net
0.9807692307692307,0.3893129770992366,Elastic Net
0.9615384615384616,0.38461538461538464,Elastic Net
0.9615384615384616,0.3875968992248062,Elastic Net
0.9615384615384616,0.390625,Elastic Net
0.9615384615384616,0.3937007874015748,Elastic Net
0.9615384615384616,0.3968253968253968,Elastic Net
0.9615384615384616,0.4,Elastic Net
0.9615384615384616,0.4032258064516129,Elastic Net
0.9615384615384616,0.4065040650406504,Elastic Net
0.9615384615384616,0.4098360655737705,Elastic Net
0.9615384615384616,0.4132231404958678,Elastic Net
0.9615384615384616,0.4166666666666667,Elastic Net
0.9423076923076923,0.4117647058823529,Elastic Net
0.9423076923076923,0.4152542372881356,Elastic Net
0.9423076923076923,0.4188034188034188,Elastic Net
0.9230769230769231,0.41379310344827586,Elastic Net
0.9230769230769231,0.41739130434782606,Elastic Net
0.9230769230769231,0.42105263157894735,Elastic Net
0.9038461538461539,0.415929203539823,Elastic Net
0.8846153846153846,0.4107142857142857,Elastic Net
0.8846153846153846,0.4144144144144144,Elastic Net
0.8846153846153846,0.41818181818181815,Elastic Net
0.8846153846153846,0.42201834862385323,Elastic Net
0.8846153846153846,0.42592592592592593,Elastic Net
0.8653846153846154,0.4205607476635514,Elastic Net
0.8653846153846154,0.42452830188679247,Elastic Net
0.8461538461538461,0.41904761904761906,Elastic Net
0.8461538461538461,0.4230769230769231,Elastic Net
0.8269230769230769,0.4174757281553398,Elastic Net
0.8269230769230769,0.4215686274509804,Elastic Net
0.8076923076923077,0.4158415841584158,Elastic Net
0.7884615384615384,0.41,Elastic Net
0.7884615384615384,0.41414141414141414,Elastic Net
0.7884615384615384,0.41836734693877553,Elastic Net
0.7692307692307693,0.41237113402061853,Elastic Net
0.7692307692307693,0.4166666666666667,Elastic Net
0.7692307692307693,0.42105263157894735,Elastic Net
0.7692307692307693,0.425531914893617,Elastic Net
0.75,0.41935483870967744,Elastic Net
0.7307692307692307,0.41304347826086957,Elastic Net
0.7307692307692307,0.4175824175824176,Elastic Net
0.7307692307692307,0.4222222222222222,Elastic Net
0.7307692307692307,0.42696629213483145,Elastic Net
0.7307692307692307,0.4318181818181818,Elastic Net
0.7307692307692307,0.4367816091954023,Elastic Net
0.7307692307692307,0.4418604651162791,Elastic Net
0.7115384615384616,0.43529411764705883,Elastic Net
0.7115384615384616,0.44047619047619047,Elastic Net
0.7115384615384616,0.4457831325301205,Elastic Net
0.7115384615384616,0.45121951219512196,Elastic Net
0.7115384615384616,0.4567901234567901,Elastic Net
0.6923076923076923,0.45,Elastic Net
0.6923076923076923,0.45569620253164556,Elastic Net
0.6923076923076923,0.46153846153846156,Elastic Net
0.6923076923076923,0.4675324675324675,Elastic Net
0.6923076923076923,0.47368421052631576,Elastic Net
0.6923076923076923,0.48,Elastic Net
0.6923076923076923,0.4864864864864865,Elastic Net
0.6923076923076923,0.4931506849315068,Elastic Net
0.6923076923076923,0.5,Elastic Net
0.6730769230769231,0.49295774647887325,Elastic Net
0.6730769230769231,0.5,Elastic Net
0.6730769230769231,0.5072463768115942,Elastic Net
0.6730769230769231,0.5147058823529411,Elastic Net
0.6538461538461539,0.5074626865671642,Elastic Net
0.6538461538461539,0.5151515151515151,Elastic Net
0.6346153846153846,0.5076923076923077,Elastic Net
0.6346153846153846,0.515625,Elastic Net
0.6346153846153846,0.5238095238095238,Elastic Net
0.6153846153846154,0.5161290322580645,Elastic Net
0.6153846153846154,0.5245901639344263,Elastic Net
0.5961538461538461,0.5166666666666667,Elastic Net
0.5769230769230769,0.5084745762711864,Elastic Net
0.5769230769230769,0.5172413793103449,Elastic Net
0.5769230769230769,0.5263157894736842,Elastic Net
0.5576923076923077,0.5178571428571429,Elastic Net
0.5384615384615384,0.509090909090909,Elastic Net
0.5384615384615384,0.5185185185185185,Elastic Net
0.5384615384615384,0.5283018867924528,Elastic Net
0.5192307692307693,0.5192307692307693,Elastic Net
0.5192307692307693,0.5294117647058824,Elastic Net
0.5,0.52,Elastic Net
